Domains,Contributors
"fb.com","1,387"
"gmail.com","1,160"
"users.noreply.github.com",503
"meta.com",153
"intel.com",82
"microsoft.com",56
"nvidia.com",43
"outlook.com",41
"amd.com",39
"qq.com",37
"google.com",33
"163.com",21
"hotmail.com",21
"yahoo.com",16
"oculus.com",15
"us.ibm.com",13
"quansight.com",11
"yandex.ru",11
"amazon.com",10
"habana.ai",10
"protonmail.com",10
"twitter.com",10
"umich.edu",10
"cornell.edu",9
"cn.fujitsu.com",8
