Developer,Project,"First Quarter","Last Quarter","Total Quarters Active",Contributions
"Uday Bondhugula",grimoirelab,"April 1st 2018","January 1st 2022",14,268
"Jian Li",grimoirelab,"July 1st 2018","October 1st 2021",14,267
"Jean-Baptiste Lespiau",grimoirelab,"October 1st 2020","January 1st 2023",10,265
"Frederik Gossen",grimoirelab,"October 1st 2021","January 1st 2023",6,263
"Skye Wanderman-Milne",grimoirelab,"April 1st 2018","January 1st 2023",19,257
"Võ Văn Nghĩa",grimoirelab,"April 1st 2020","January 1st 2021",4,252
"Jose Baiocchi",grimoirelab,"July 1st 2019","April 1st 2022",12,251
"Yu-Cheng Ling",grimoirelab,"April 1st 2018","April 1st 2022",14,248
"Yash Katariya",grimoirelab,"April 1st 2018","January 1st 2023",21,246
"Kuangyuan Chen",grimoirelab,"April 1st 2020","January 1st 2023",12,242
"Taehee Jeong",grimoirelab,"July 1st 2019","October 1st 2022",14,241
"Ruoxin Sang",grimoirelab,"April 1st 2018","January 1st 2023",20,239
"Blake Hechtman",grimoirelab,"April 1st 2018","January 1st 2023",20,236
"Haoyu Zhang",grimoirelab,"January 1st 2019","January 1st 2023",17,234
"Berkin Ilbeyi",grimoirelab,"July 1st 2019","January 1st 2023",15,232
"Thomas O'Malley",grimoirelab,"January 1st 2019","January 1st 2021",9,231
"Andrew Selle",grimoirelab,"April 1st 2018","October 1st 2021",16,230
"Penporn Koanantakool",grimoirelab,"October 1st 2018","January 1st 2023",24,227
"Yuefeng Zhou",grimoirelab,"April 1st 2018","July 1st 2022",17,226
"Nat Jeffries",grimoirelab,"July 1st 2019","January 1st 2022",16,225
"Ben Barsdell",grimoirelab,"April 1st 2018","January 1st 2023",20,224
"Xiao Yu",grimoirelab,"January 1st 2019","January 1st 2023",15,223
frreiss,grimoirelab,"July 1st 2018","April 1st 2020",8,222
"Michael Case",grimoirelab,"April 1st 2018","October 1st 2019",5,218
"Nupur Garg",grimoirelab,"April 1st 2018","April 1st 2020",9,214
"Laura Pak",grimoirelab,"January 1st 2021","January 1st 2023",9,213
"Brian Atkinson",grimoirelab,"July 1st 2019","January 1st 2020",3,208
"Benoit Jacob",grimoirelab,"April 1st 2019","April 1st 2022",8,206
"Yanhua Sun",grimoirelab,"July 1st 2019","October 1st 2022",11,206
"Elena Zhelezina",grimoirelab,"July 1st 2019","October 1st 2020",6,201
"Martin Wicke",grimoirelab,"April 1st 2018","October 1st 2022",19,200
"Chris Lattner",grimoirelab,"April 1st 2018","July 1st 2019",6,198
"Yan Facai (颜发才)",grimoirelab,"April 1st 2018","April 1st 2019",7,198
"Marat Dukhan",grimoirelab,"January 1st 2020","January 1st 2023",13,196
"Russell Power",grimoirelab,"April 1st 2018","January 1st 2023",15,195
"Sachin Joglekar",grimoirelab,"October 1st 2018","January 1st 2022",14,195
"Sergei Lebedev",grimoirelab,"April 1st 2018","January 1st 2022",12,194
"Chris Jones",grimoirelab,"October 1st 2018","January 1st 2023",16,193
"Samuel Marks",grimoirelab,"October 1st 2020","October 1st 2021",4,192
"Mahmoud Abuzaina",grimoirelab,"April 1st 2018","October 1st 2022",19,191
"Hye Soo Yang",grimoirelab,"April 1st 2019","April 1st 2021",9,190
"Lukas Geiger",grimoirelab,"April 1st 2018","October 1st 2022",16,190
